Sample,Output_Q31,Output_Float
0,0,0.0000000
1,0,0.0000000
2,0,0.0000000
3,0,0.0000000
4,-1,-0.0000000
5,-2,-0.0000000
6,-1,-0.0000000
7,1,0.0000000
8,2,0.0000000
9,0,0.0000000
10,-2,-0.0000000
11,-4,-0.0000000
12,-3,-0.0000000
13,0,0.0000000
14,3,0.0000000
15,2,0.0000000
16,-2,-0.0000000
17,-5,-0.0000000
18,-4,-0.0000000
19,0,0.0000000
20,3,0.0000000
21,2,0.0000000
22,-2,-0.0000000
23,-5,-0.0000000
24,-4,-0.0000000
25,0,0.0000000
26,3,0.0000000
27,2,0.0000000
28,-2,-0.0000000
29,-5,-0.0000000
30,-4,-0.0000000
31,0,0.0000000
32,3,0.0000000
33,2,0.0000000
34,-2,-0.0000000
35,-5,-0.0000000
36,-4,-0.0000000
37,0,0.0000000
38,3,0.0000000
39,2,0.0000000
40,-2,-0.0000000
41,-5,-0.0000000
42,-4,-0.0000000
43,0,0.0000000
44,3,0.0000000
45,2,0.0000000
46,-2,-0.0000000
47,-5,-0.0000000
48,-4,-0.0000000
49,0,0.0000000
50,3,0.0000000
51,2,0.0000000
52,-2,-0.0000000
53,-5,-0.0000000
54,-4,-0.0000000
55,0,0.0000000
56,3,0.0000000
57,2,0.0000000
58,-2,-0.0000000
59,-5,-0.0000000
60,-4,-0.0000000
61,0,0.0000000
62,3,0.0000000
63,2,0.0000000
64,-2,-0.0000000
65,-5,-0.0000000
66,-4,-0.0000000
67,0,0.0000000
68,3,0.0000000
69,2,0.0000000
70,-2,-0.0000000
71,-5,-0.0000000
72,-4,-0.0000000
73,0,0.0000000
74,3,0.0000000
75,2,0.0000000
76,-2,-0.0000000
77,-5,-0.0000000
78,-4,-0.0000000
79,0,0.0000000
80,3,0.0000000
81,2,0.0000000
82,-2,-0.0000000
83,-5,-0.0000000
84,-4,-0.0000000
85,0,0.0000000
86,3,0.0000000
87,2,0.0000000
88,-2,-0.0000000
89,-5,-0.0000000
90,-4,-0.0000000
91,0,0.0000000
92,3,0.0000000
93,2,0.0000000
94,-2,-0.0000000
95,-5,-0.0000000
96,-4,-0.0000000
97,0,0.0000000
98,3,0.0000000
99,2,0.0000000
100,-2,-0.0000000
101,-5,-0.0000000
102,-4,-0.0000000
103,0,0.0000000
104,3,0.0000000
105,2,0.0000000
106,-2,-0.0000000
107,-5,-0.0000000
108,-4,-0.0000000
109,0,0.0000000
110,3,0.0000000
111,2,0.0000000
112,-2,-0.0000000
113,-5,-0.0000000
114,-4,-0.0000000
115,0,0.0000000
116,3,0.0000000
117,2,0.0000000
118,-2,-0.0000000
119,-5,-0.0000000
120,-4,-0.0000000
121,0,0.0000000
122,3,0.0000000
123,2,0.0000000
124,-2,-0.0000000
125,-5,-0.0000000
126,-4,-0.0000000
127,0,0.0000000
128,3,0.0000000
129,2,0.0000000
130,-2,-0.0000000
131,-5,-0.0000000
132,-4,-0.0000000
133,0,0.0000000
134,3,0.0000000
135,2,0.0000000
