Sample,Output_Q31,Output_Float
0,0,0.0000000
1,0,0.0000000
2,0,0.0000000
3,-1,-0.0000000
4,-2,-0.0000000
5,-1,-0.0000000
6,1,0.0000000
7,3,0.0000000
8,1,0.0000000
9,-3,-0.0000000
10,-7,-0.0000000
11,-5,-0.0000000
12,2,0.0000000
13,8,0.0000000
14,6,0.0000000
15,-5,-0.0000000
16,-15,-0.0000000
17,-11,-0.0000000
18,6,0.0000000
19,19,0.0000000
20,12,0.0000000
21,-11,-0.0000000
22,-28,-0.0000000
23,-18,-0.0000000
24,13,0.0000000
25,34,0.0000000
26,20,0.0000000
27,-19,-0.0000000
28,-44,-0.0000000
29,-27,-0.0000000
30,20,0.0000000
31,52,0.0000000
32,32,0.0000000
33,-27,-0.0000000
34,-66,-0.0000000
35,-40,-0.0000000
36,31,0.0000000
37,77,0.0000000
38,45,0.0000000
39,-40,-0.0000000
40,-93,-0.0000000
41,-55,-0.0000000
42,44,0.0000000
43,106,0.0000000
44,62,0.0000000
45,-52,-0.0000000
46,-124,-0.0000001
47,-74,-0.0000000
48,57,0.0000000
49,139,0.0000001
50,82,0.0000000
51,-67,-0.0000000
52,-159,-0.0000001
53,-93,-0.0000000
54,74,0.0000000
55,176,0.0000001
56,102,0.0000000
57,-85,-0.0000000
58,-199,-0.0000001
59,-116,-0.0000001
60,92,0.0000000
61,218,0.0000001
62,126,0.0000001
63,-103,-0.0000000
64,-241,-0.0000001
65,-140,-0.0000001
66,109,0.0000001
67,259,0.0000001
68,151,0.0000001
69,-118,-0.0000001
70,-281,-0.0000001
71,-167,-0.0000001
72,122,0.0000001
73,301,0.0000001
74,181,0.0000001
75,-131,-0.0000001
76,-326,-0.0000002
77,-199,-0.0000001
78,137,0.0000001
79,348,0.0000002
80,212,0.0000001
81,-148,-0.0000001
82,-375,-0.0000002
83,-231,-0.0000001
84,155,0.0000001
85,400,0.0000002
86,247,0.0000001
87,-166,-0.0000001
88,-428,-0.0000002
89,-266,-0.0000001
90,172,0.0000001
91,452,0.0000002
92,282,0.0000001
93,-183,-0.0000001
94,-481,-0.0000002
95,-302,-0.0000001
96,189,0.0000001
97,505,0.0000002
98,320,0.0000001
99,-197,-0.0000001
100,-534,-0.0000002
101,-343,-0.0000002
102,201,0.0000001
103,560,0.0000003
104,363,0.0000002
105,-210,-0.0000001
106,-591,-0.0000003
107,-387,-0.0000002
108,215,0.0000001
109,617,0.0000003
110,406,0.0000002
111,-223,-0.0000001
112,-646,-0.0000003
113,-430,-0.0000002
114,226,0.0000001
115,673,0.0000003
116,452,0.0000002
117,-234,-0.0000001
118,-705,-0.0000003
119,-478,-0.0000002
120,238,0.0000001
121,733,0.0000003
122,500,0.0000002
123,-246,-0.0000001
124,-765,-0.0000004
125,-526,-0.0000002
126,249,0.0000001
127,793,0.0000004
128,551,0.0000003
129,-256,-0.0000001
130,-827,-0.0000004
131,-579,-0.0000003
132,259,0.0000001
133,856,0.0000004
134,603,0.0000003
135,-266,-0.0000001
